%"Collected By Brett Hamlin Oct 05, 2009, Houghton, MI"			
%Latitude	Longitude	Elivation (m)	Distrnce (m)
47.103809	-88.535911	223.489	2631.974
47.103846	-88.536015	225.8	2640.852
47.103919	-88.536211	228.369	2657.714
47.10395	-88.536299	229.199	2665.218
47.104023	-88.536364	228.229	2675.086
47.104037	-88.536359	228.089	2676.668
47.104091	-88.536348	229.129	2682.624
47.104156	-88.536331	223.218	2690.138
47.104206	-88.536304	223.168	2696.062
47.104288	-88.536367	224.449	2706.526
47.104353	-88.536393	225.79	2714.289
47.104457	-88.536399	225.739	2726.362
47.104487	-88.536537	226.259	2737.767
47.104518	-88.536683	227.389	2750.028
47.104583	-88.536638	229.03	2758.447
47.104602	-88.536593	229.23	2762.395
47.104649	-88.5365	227.769	2771.09
47.104831	-88.536469	225.138	2791.898
47.104984	-88.536509	224.458	2809.165
47.10502	-88.536556	224.458	2814.474
47.105163	-88.536794	223.748	2838.667
47.105169	-88.536909	224.479	2847.337
47.105131	-88.537154	224.029	2866.535
47.105222	-88.537354	222.168	2884.869
47.105265	-88.537512	223.019	2897.748
47.105243	-88.537688	223.099	2911.482
47.105182	-88.537884	224.99	2927.937
47.105206	-88.538061	226.189	2941.901
47.105257	-88.538231	228.129	2955.968
47.105339	-88.538346	227.848	2968.675
47.105338	-88.538501	227.978	2980.533
47.105391	-88.538699	229.548	2996.939
47.10549	-88.538848	229.838	3013.239
47.105548	-88.539003	230.748	3026.6
47.105561	-88.539174	232.42	3039.728
47.105542	-88.539328	234.149	3051.656
47.105542	-88.539481	236.399	3063.296
47.105503	-88.539547	238.199	3069.729
47.105443	-88.539549	237.659	3076.226
47.105342	-88.539466	238.379	3089.429
47.105272	-88.53935	238.779	3101.157
47.105191	-88.53926	239.399	3112.517
47.105105	-88.539144	239.999	3125.567
47.105046	-88.53919	240.6	3133.558
47.105052	-88.539371	239.369	3147.353
47.105068	-88.539448	238.138	3153.351
47.105102	-88.539673	236.507	3171.255
47.105098	-88.539826	235.887	3183.04
47.105143	-88.540002	233.767	3197.22
47.105171	-88.540226	234.338	3214.61
47.105162	-88.540416	234.958	3229.076
47.105163	-88.540448	234.608	3231.46
47.105134	-88.540649	235.208	3246.921
47.105163	-88.540848	236.258	3262.366
47.105184	-88.541043	239.298	3277.336
47.105182	-88.541286	240.988	3295.67
47.105199	-88.541441	241.898	3307.585
47.105274	-88.541538	242.328	3318.599
47.105383	-88.541681	242.928	3334.897
47.105452	-88.541876	244.708	3351.605
47.105541	-88.542096	246.768	3371.019
47.10559	-88.54224	246.388	3383.243
47.105601	-88.542342	248.888	3391.079
47.105589	-88.542483	248.668	3401.354
47.105557	-88.542574	249.788	3409.178
47.105532	-88.542714	252.279	3420.152
47.105532	-88.54285	252.048	3430.52
47.105544	-88.54296	252.427	3438.964
47.10561	-88.543212	253.598	3459.392
47.105615	-88.54334	257.278	3469.194
47.105612	-88.543432	260.239	3476.074
47.105591	-88.543515	262.249	3482.848
47.105561	-88.543683	262.018	3495.931
47.105542	-88.543738	259.397	3498.47
47.105501	-88.543785	257.967	3503.787
47.105416	-88.543855	256.736	3514.408
47.105344	-88.54403	257.207	3529.964
47.10531	-88.544208	256.056	3544.002
47.105281	-88.544399	256.826	3558.86
47.105279	-88.544562	257.236	3571.283
47.105269	-88.544699	258.736	3581.729
47.105309	-88.544893	259.986	3597.111
47.105337	-88.54505	261.437	3609.41
47.105341	-88.54507	262.317	3611.032
47.105348	-88.545222	262.607	3623.104
47.105348	-88.54537	260.858	3634.145
47.105319	-88.545453	262.767	3641.251
47.105289	-88.545561	265.527	3650.18
47.105284	-88.545665	269.168	3658.081
