%"Collected By Brett Hamlin Oct 19, 2009, Calumet, MI"			
%Latitude	Longitude	Elivation (m)	Distrnce (m)
47.238483	-88.488605	381.861	3422.958
47.238543	-88.488773	382.881	3437.27
47.238532	-88.488949	385.112	3450.049
47.238453	-88.489194	386.962	3470.256
47.238437	-88.489216	387.362	3472.523
47.238393	-88.489159	386.341	3480.362
47.238394	-88.489123	386.671	3483.105
47.238398	-88.488945	383.38	3496.448
47.238355	-88.488931	385.25	3501.282
47.238243	-88.488947	384.87	3513.69
47.238125	-88.488986	384.37	3526.866
47.238087	-88.48899	385.15	3531.054
47.237967	-88.488882	394.192	3546.542
47.237873	-88.488816	396.321	3558.068
47.237746	-88.48886	393.09	3570.646
47.237706	-88.488907	389.849	3575.318
47.23764	-88.48904	383.317	3587.112
47.237627	-88.489118	381.597	3593.046
47.237596	-88.489335	381.058	3610.006
47.237571	-88.489635	382.909	3632.902
47.237493	-88.48978	387.11	3647.491
47.237398	-88.490033	386.52	3669.362
47.237361	-88.490192	386.97	3682.133
47.237271	-88.490487	387.41	3706.654
47.23732	-88.490619	381.568	3718.081
47.237341	-88.490778	379.858	3730.668
47.23729	-88.490918	379.918	3742.66
47.237149	-88.491085	376.648	3762.865
47.237143	-88.491271	378.918	3777.841
47.237183	-88.491442	379.299	3791.482
47.237165	-88.491581	381.59	3802.032
47.237193	-88.491615	379.689	3804.6
47.237251	-88.491639	380.52	3810.956
47.237383	-88.491764	385.362	3828.078
47.23746	-88.491751	385.011	3836.292
47.237625	-88.491742	384.4	3854.534
47.237605	-88.491915	384.71	3866.502
47.237622	-88.492089	386.31	3879.774
47.237646	-88.492258	387.22	3892.689
47.237745	-88.492389	385.269	3907.721
47.237852	-88.492486	383.83	3920.893
47.237983	-88.492569	378.368	3937.239
47.23802	-88.492728	375.217	3949.961
47.23799	-88.492925	371.707	3965.119
47.237975	-88.492958	370.777	3967.981
47.238041	-88.49306	371.048	3978.357
47.238159	-88.493222	371.278	3996.521
47.238299	-88.49344	372.088	4019.115
47.238442	-88.493678	372.378	4043.185
47.238458	-88.493762	372.868	4049.738
47.238402	-88.493884	373.149	4060.666
47.238339	-88.493864	373.769	4067.838
47.238202	-88.49371	372.678	4087.205
47.238125	-88.493574	372.698	4100.572
47.238102	-88.493512	371.868	4105.835
47.238042	-88.493452	372.519	4113.838
47.237961	-88.493549	373.759	4125.853
47.237937	-88.493624	373.859	4132.03
47.237963	-88.493774	377.289	4143.875
47.237932	-88.494002	385.213	4161.208
47.23783	-88.494134	388.971	4176.517
47.237783	-88.494209	388.24	4184.155
47.237768	-88.494219	389.381	4185.9
47.23766	-88.494427	384.399	4204.802
47.237569	-88.494562	383.329	4219.143
47.237519	-88.494598	375.866	4225.184
47.237517	-88.494613	365.965	4226.544
47.237493	-88.494763	367.937	4238.158
47.237491	-88.494782	365.817	4239.58
47.237488	-88.494837	362.256	4243.838
47.237487	-88.495023	366.248	4257.702
47.237475	-88.495059	366.268	4260.572
47.237391	-88.495212	370.509	4275.087
47.237317	-88.495163	371.799	4283.674
47.237297	-88.49517	372.55	4285.868
