%"Collected By Brett Hamlin Spt 23, 2009, Houghton, MI"			
%Latitude	Longitude	Elivation (m)	Distrnce (m)
47.10796	-88.542602	261.135	4501.504
47.107867	-88.54236	256.329	4525.324
47.10794	-88.542331	252.964	4533.565
47.108105	-88.542325	248.158	4552.185
47.108107	-88.542072	245.273	4573.683
47.108027	-88.541918	246.715	4588.455
47.107948	-88.541979	247.677	4597.744
47.10783	-88.541978	249.119	4611.324
47.107691	-88.541694	251.522	4638.965
47.107617	-88.541536	252.964	4653.814
47.1075	-88.541352	252.964	4673.309
47.107421	-88.5411	248.638	4694.404
47.107377	-88.541008	245.754	4702.859
47.107325	-88.54075	239.986	4723.996
47.107226	-88.540873	241.428	4741.842
47.107173	-88.540982	246.715	4749.657
47.107187	-88.541098	251.041	4758.389
47.107215	-88.541222	252.003	4768.291
47.107209	-88.54128	252.964	4772.784
47.107227	-88.541375	253.925	4780.254
47.107279	-88.541513	254.887	4792.421
47.107266	-88.541642	260.655	4802.271
47.107313	-88.541827	254.406	4817.318
47.107413	-88.541989	248.158	4833.977
47.107533	-88.542072	243.832	4848.633
47.107595	-88.542177	243.351	4859.251
47.107618	-88.542385	244.793	4875.475
47.107726	-88.542621	240.467	4896.679
47.10769	-88.542599	244.793	4896.679
47.107562	-88.54251	252.964	4911.659
47.10756	-88.542509	252.483	4913.016
47.107534	-88.542579	252.964	4919.546
47.107541	-88.542718	253.925	4929.877
47.107566	-88.542785	256.329	4935.634
47.107545	-88.542886	260.174	4943.904
47.107568	-88.543058	261.135	4957.641
47.107588	-88.543251	257.771	4972.062
47.107563	-88.543454	254.406	4987.094
47.107508	-88.543606	252.964	5000.684
47.107496	-88.543634	253.925	5003.285
47.107407	-88.543869	258.732	5022.023
47.107487	-88.544098	259.213	5041.735
47.107484	-88.54423	262.097	5051.285
47.107449	-88.544378	267.384	5062.693
47.107445	-88.544565	264.019	5076.693
47.107448	-88.544757	262.577	5091.374
47.107453	-88.544889	264.5	5101.172
47.107453	-88.544906	264.981	5102.367
47.107477	-88.545123	261.616	5119.28
47.107523	-88.545308	258.732	5134.019
47.1075	-88.545484	261.135	5147.316
47.107539	-88.545672	259.693	5162.258
47.107571	-88.545797	262.097	5172.375
47.107616	-88.545898	263.058	5181.451
47.10765	-88.546027	265.461	5192.221
47.10763	-88.546184	267.865	5204.414
47.10757	-88.546288	270.268	5214.78
47.107425	-88.546354	273.632	5231.854
47.107409	-88.546415	273.152	5235.994
47.107254	-88.546455	277.958	5253.867
47.107231	-88.546473	277.958	5256.609
47.107104	-88.546555	277.478	5272.05
47.10704	-88.546611	279.881	5279.394
47.10695	-88.54665	284.207	5288.982
47.106849	-88.54682	285.649	5305.673
47.106768	-88.547036	289.494	5323.999
47.106713	-88.547106	290.456	5331.849
47.106636	-88.547248	285.649	5345.223
47.10657	-88.547411	279.881	5360.397
47.106489	-88.547549	277.478	5373.908
47.106465	-88.547732	277.478	5388.218
47.106437	-88.547848	284.207	5396.79
47.106466	-88.547909	282.765	5402.447
47.106573	-88.548007	277.958	5416.603
47.106594	-88.548115	282.765	5425.104
47.106696	-88.548321	267.865	5443.453
47.106688	-88.548378	273.632	5448.383
47.106673	-88.548391	275.074	5448.586
47.1066	-88.548521	285.168	5458.503
47.106566	-88.548688	289.014	5471.282
47.106508	-88.548829	294.301	5483.215
47.106528	-88.548978	294.781	5494.824
47.106539	-88.549	294.301	5496.838
47.106533	-88.549186	296.224	5511.281
47.106561	-88.549289	296.224	5519.715
47.106531	-88.549487	298.146	5535.249
47.106541	-88.549563	296.704	5541.249
47.106619	-88.549814	287.571	5561.813
47.106585	-88.54999	286.61	5575.608
47.106582	-88.55013	289.494	5586.013
47.106589	-88.550158	289.014	5588.289
47.106676	-88.550326	285.649	5604.257
47.10671	-88.550376	285.649	5609.551
47.106801	-88.550532	285.649	5625.212
47.106855	-88.550664	284.688	5636.914
47.106801	-88.550856	287.091	5652.698
47.106781	-88.551022	290.456	5665.62
47.106795	-88.551192	289.494	5678.882
47.106761	-88.551376	289.494	5692.884
47.10672	-88.55156	289.975	5707.386
47.106668	-88.551787	291.897	5725.106
47.106653	-88.551961	295.743	5737.751
47.106759	-88.552056	295.262	5751.662
47.1069	-88.552156	291.417	5769.069
47.107044	-88.552196	289.014	5785.387
47.107163	-88.552277	289.494	5799.939
47.107292	-88.552339	289.494	5815.03
47.107426	-88.552385	288.533	5830.292
47.107492	-88.552377	287.091	5837.466
47.107506	-88.552376	288.052	5839.104
47.107492	-88.552369	301.511	5846.292
47.107437	-88.552295	307.279	5857.213
47.107311	-88.552332	307.279	5871.64
47.107272	-88.552371	304.875	5876.434
47.107111	-88.552308	310.162	5895.085
47.106993	-88.552272	309.682	5908.613
47.106863	-88.552204	313.047	5923.907
47.106704	-88.552147	313.527	5942.173
47.10659	-88.551949	317.372	5961.597
47.106608	-88.551783	315.45	5974.436
47.106653	-88.551602	312.566	5989.139
47.106652	-88.551319	308.24	6010.792
47.106684	-88.55111	303.433	6027.118
47.106736	-88.550887	301.03	6044.981
47.106833	-88.550678	297.185	6064.854
47.106709	-88.550454	298.146	6086.286
47.106596	-88.550255	295.743	6105.862
47.106566	-88.549971	293.339	6128.475
47.106566	-88.549705	289.975	6149.243
47.10657	-88.549367	288.533	6175.038
47.106526	-88.549036	290.456	6200.983
47.106498	-88.548792	290.456	6220.082
47.106505	-88.548711	290.936	6226.262
47.106509	-88.548573	292.378	6236.596
47.106578	-88.548382	289.494	6254.523
47.106667	-88.548475	290.936	6267.016
47.106691	-88.548496	291.897	6270.051
47.106822	-88.54857	289.494	6285.717
47.106957	-88.548561	286.61	6300.729
47.107039	-88.54854	285.168	6310.131
47.10722	-88.548554	282.765	6330.191
47.107289	-88.548429	280.842	6342.823
47.107416	-88.548277	278.439	6361.482
47.107505	-88.548255	278.439	6371.482
47.107611	-88.548093	277.958	6389.369
47.107632	-88.547893	277.958	6405.021
47.107662	-88.547763	277.958	6415.377
47.107755	-88.547497	277.478	6438.196
47.107933	-88.547363	276.997	6460.784
47.107993	-88.547349	275.555	6467.496
47.108127	-88.547324	272.19	6482.565
47.108289	-88.547126	272.19	6507.695
47.108283	-88.547054	272.671	6512.611
47.10829	-88.546906	272.671	6523.431
47.108394	-88.546621	270.268	6548.095
47.108439	-88.546425	270.748	6564.367
47.108385	-88.546206	272.19	6581.857
47.108281	-88.545901	275.555	6610.087
47.108412	-88.545931	272.19	6624.856
47.10851	-88.545876	272.671	6636.927
47.108469	-88.54566	272.671	6655.113
47.108459	-88.545307	267.384	6685.798
47.1085	-88.545141	266.903	6699.285
47.108678	-88.544758	264.019	6734.752
47.108827	-88.544644	263.539	6753.623
47.108924	-88.54461	263.058	6764.611
47.109046	-88.544537	262.097	6779.209
47.109235	-88.544413	258.732	6802.599
47.109381	-88.54417	258.251	6827.101
47.109357	-88.543977	257.771	6842.22
47.109344	-88.543835	258.251	6853.043
47.10942	-88.543573	256.809	6875.038
47.109615	-88.543577	254.887	6897.405
47.109732	-88.543646	253.925	6911.373
47.109876	-88.543645	253.445	6927.412
47.109986	-88.543555	255.367	6941.574
47.110015	-88.543528	254.887	6945.485
47.11018	-88.543583	252.964	6965.283
47.110208	-88.543604	252.964	6968.729
47.110346	-88.543703	252.964	6985.792
47.11046	-88.543723	252.483	6998.975
47.110504	-88.543538	257.29	7014.918
