%"Collected By Brett Hamlin Nov 09, 2009, Hancock, MI"			
%Latitude	Longitude	Elivation (m)	Distrnce (m)
47.15164	-88.624555	260.454	3439.24
47.151712	-88.624334	257.603	3457.763
47.151855	-88.623789	250.903	3502.079
47.152025	-88.623479	249.835	3532.817
47.152143	-88.623354	249.736	3549.1
47.152237	-88.623253	250.716	3562.015
47.152406	-88.623091	248.435	3584.47
47.152612	-88.622914	245.904	3610.975
47.152815	-88.622828	244.564	3634.542
47.152879	-88.622688	247.107	3647.818
47.152819	-88.62255	251.43	3660.387
47.152717	-88.622504	256.861	3672.251
47.152729	-88.622488	260.613	3673.299
47.152718	-88.622472	266.802	3676.002
47.152556	-88.622523	277.815	3676.002
47.152343	-88.622606	283.025	3700.229
47.152188	-88.622627	286.145	3716.326
47.152011	-88.622527	287.094	3735.943
47.151892	-88.622297	284.311	3757.249
47.151769	-88.622034	282.839	3780.626
47.151751	-88.621804	276.815	3798.232
47.151824	-88.62171	271.465	3808.948
47.15196	-88.621675	266.457	3824.279
47.152101	-88.621619	264.018	3840.599
47.152222	-88.621526	260.676	3855.771
47.152284	-88.621329	260.747	3872.462
47.152357	-88.621005	261.057	3898.353
47.152439	-88.620765	260.598	3918.666
47.152586	-88.620553	259.209	3941.656
47.152816	-88.620244	256.659	3976.394
47.152971	-88.620033	257.329	4000.491
47.153082	-88.620057	257.79	4013.074
47.153207	-88.620201	259.38	4030.714
47.153354	-88.620343	261.971	4050.439
47.15357	-88.620491	264.921	4076.877
47.153796	-88.620565	267.112	4102.673
47.153973	-88.620581	267.11	4122.466
47.154121	-88.620496	266.67	4140.208
47.154211	-88.62044	266.519	4151.04
47.154425	-88.620426	265.45	4175.186
47.15452	-88.620428	264.3	4185.858
47.154677	-88.620391	263.42	4203.433
47.154829	-88.620362	263.59	4220.577
47.154941	-88.62033	263.28	4233.246
47.155018	-88.620278	263.95	4242.584
47.155119	-88.620171	265	4256.351
47.155254	-88.620044	265.51	4274.26
47.155389	-88.619928	265.24	4291.662
47.155509	-88.61972	266.569	4312.333
47.155623	-88.619574	266.099	4329.242
47.155842	-88.619515	265.74	4354.25
47.156051	-88.619514	266.07	4377.485
47.156233	-88.619436	264.52	4398.717
47.156354	-88.61927	264.49	4417.218
